,0
0,0.953125
1,0.97265625
2,0.95703125
3,0.94921875
4,0.9609375
5,0.94921875
6,0.96484375
7,0.9453125
8,0.953125
9,0.9609375
10,0.95703125
11,0.94921875
12,0.9609375
13,0.953125
14,0.9453125
15,0.9453125
16,0.95703125
17,0.96484375
18,0.9609375
19,0.96484375
20,0.9609375
21,0.9609375
22,0.9609375
23,0.9375
24,0.95703125
25,0.96484375
26,0.96484375
27,0.96875
28,0.97265625
29,0.94921875
30,0.96484375
31,0.93359375
32,0.95703125
33,0.94140625
34,0.96875
35,0.953125
36,0.94921875
37,0.95703125
38,0.953125
39,0.94140625
40,0.95703125
41,0.94921875
42,0.95703125
43,0.95703125
44,0.95703125
45,0.96875
46,0.94140625
47,0.93359375
48,0.9453125
49,0.97265625
50,0.9375
51,0.984375
52,0.95703125
53,0.96484375
54,0.92578125
55,0.95703125
56,0.96484375
57,0.953125
58,0.9296875
59,0.95703125
60,0.96875
61,0.953125
62,0.9609375
63,0.96875
64,0.9453125
65,0.953125
66,0.9375
67,0.94921875
68,0.9609375
69,0.953125
70,0.96484375
71,0.96875
72,0.97265625
73,0.95703125
74,0.96484375
75,0.94140625
76,0.97265625
77,0.96875
78,0.953125
79,0.953125
80,0.98046875
81,0.9453125
82,0.94921875
83,0.9609375
84,0.96484375
85,0.9609375
86,0.94921875
87,0.96875
88,0.953125
89,0.94140625
90,0.97265625
91,0.9609375
92,0.97265625
93,0.95703125
94,0.96875
95,0.953125
96,0.94140625
97,0.95703125
98,0.953125
99,0.953125
100,0.9609375
101,0.96875
102,0.93359375
103,0.96875
104,0.97265625
105,0.95703125
106,0.95703125
107,0.91796875
108,0.9609375
109,0.953125
110,0.94921875
111,0.98046875
112,0.95703125
113,0.94140625
114,0.96875
115,0.953125
116,0.9609375
117,0.953125
118,0.953125
119,0.96484375
120,0.94921875
121,0.96875
122,0.96484375
123,0.9609375
124,0.95703125
125,0.94921875
126,0.953125
127,0.95703125
128,0.96484375
129,0.95703125
130,0.93359375
131,0.96484375
132,0.94921875
133,0.9453125
134,0.9375
135,0.97265625
136,0.95703125
137,0.95703125
138,0.953125
139,0.9609375
140,0.96484375
141,0.95703125
142,0.94140625
143,0.96875
144,0.95703125
145,0.9609375
146,0.953125
147,0.9765625
148,0.9609375
149,0.9453125
150,0.9453125
151,0.96484375
152,0.9609375
153,0.953125
154,0.96875
155,0.9453125
156,0.95703125
157,0.9609375
158,0.94921875
159,0.9453125
160,0.96875
161,0.95703125
162,0.953125
163,0.96484375
164,0.9453125
165,0.9609375
166,0.95703125
167,0.97265625
168,0.96484375
169,0.953125
170,0.94921875
171,0.9609375
172,0.953125
173,0.953125
174,0.94921875
175,0.9609375
176,0.98046875
177,0.96484375
178,0.9765625
179,0.953125
180,0.953125
181,0.94921875
182,0.9609375
183,0.953125
184,0.94921875
185,0.953125
186,0.953125
187,0.96484375
188,0.96484375
189,0.94921875
190,0.953125
191,0.94140625
192,0.94921875
193,0.96484375
194,0.96484375
195,0.9609375
196,0.9609375
197,0.94140625
198,0.97265625
199,0.94921875
200,0.96875
201,0.9609375
202,0.9765625
203,0.96875
204,0.95703125
205,0.9609375
206,0.9375
207,0.9609375
208,0.953125
209,0.9609375
210,0.95703125
211,0.96875
212,0.9375
213,0.9609375
214,0.9453125
215,0.97265625
216,0.9609375
217,0.96875
218,0.94921875
219,0.94140625
220,0.94921875
221,0.95703125
222,0.95703125
223,0.94921875
224,0.9453125
225,0.9609375
226,0.9453125
227,0.94921875
228,0.953125
229,0.9609375
230,0.9609375
231,0.96484375
232,0.96875
233,0.97265625
234,0.96875
235,0.96875
236,0.9765625
237,0.9453125
238,0.9609375
239,0.9453125
240,0.94921875
241,0.9453125
242,0.96484375
243,0.96875
244,0.92578125
245,0.953125
246,0.953125
247,0.95703125
248,0.9375
249,0.96484375
250,0.96484375
251,0.94921875
252,0.97265625
253,0.9609375
254,0.9453125
255,0.9609375
256,0.96875
257,0.953125
258,0.95703125
259,0.96875
260,0.97265625
261,0.95703125
262,0.94921875
263,0.9453125
264,0.9609375
265,0.96484375
266,0.9609375
267,0.9609375
268,0.9609375
269,0.953125
270,0.9609375
271,0.94140625
272,0.98046875
273,0.96484375
274,0.953125
275,0.94921875
276,0.9453125
277,0.9453125
278,0.96484375
279,0.96875
280,0.9765625
281,0.96875
282,0.9609375
283,0.95703125
284,0.95703125
285,0.94921875
286,0.9609375
287,0.9609375
288,0.9609375
289,0.953125
290,0.98046875
291,0.953125
292,0.953125
293,0.953125
294,0.9609375
295,0.9765625
296,0.94921875
297,0.96484375
298,0.96875
299,0.9765625
300,0.96875
301,0.95703125
302,0.9375
303,0.96875
304,0.98046875
305,0.953125
306,0.96875
307,0.984375
308,0.95703125
309,0.96875
310,0.953125
311,0.96875
312,0.94140625
313,0.98046875
314,0.96875
315,0.95703125
316,0.96484375
317,0.95703125
318,0.9609375
319,0.96484375
320,0.9609375
321,0.9765625
322,0.96484375
323,0.96875
324,0.9609375
325,0.9609375
326,0.96875
327,0.95703125
328,0.96875
329,0.98046875
330,0.94921875
331,0.95703125
332,0.94140625
333,0.9609375
334,0.96484375
335,0.97265625
336,0.96875
337,0.96875
338,0.94921875
339,0.96875
340,0.984375
341,0.96484375
342,0.9609375
343,0.97265625
344,0.9609375
345,0.9609375
346,0.9609375
347,0.953125
348,0.96484375
349,0.94140625
350,0.9609375
351,0.96875
352,0.96875
353,0.9609375
354,0.9765625
355,0.94140625
356,0.98828125
357,0.97265625
358,0.9609375
359,0.96484375
360,0.96484375
361,0.9453125
362,0.95703125
363,0.984375
364,0.96875
365,0.9609375
366,0.95703125
367,0.96875
368,0.96484375
369,0.9609375
370,0.96484375
371,0.9609375
372,0.96484375
373,0.96875
374,0.94140625
375,0.96875
376,0.9765625
377,0.953125
378,0.9609375
379,0.96484375
380,0.96484375
381,0.94140625
382,0.96875
383,0.95703125
384,0.953125
385,0.94921875
386,0.9765625
387,0.96484375
388,0.97265625
389,0.96875
390,0.9609375
391,0.9609375
392,0.9609375
393,0.95703125
394,0.97265625
395,0.9453125
396,0.96484375
397,0.9765625
398,0.97265625
399,0.96484375
400,0.94921875
401,0.96875
402,0.953125
403,0.96875
404,0.96875
405,0.9375
406,0.9609375
407,0.96484375
408,0.95703125
409,0.9609375
410,0.97265625
411,0.96875
412,0.95703125
413,0.953125
414,0.9765625
415,0.96484375
416,0.96875
417,0.9765625
418,0.96484375
419,0.9609375
420,0.96875
421,0.9609375
422,0.95703125
423,0.94921875
424,0.96484375
425,0.95703125
426,0.96484375
427,0.97265625
428,0.94921875
429,0.96484375
430,0.97265625
431,0.9765625
432,0.96875
433,0.96484375
434,0.9609375
435,0.96484375
436,0.96484375
437,0.97265625
438,0.9453125
439,0.9765625
440,0.9453125
441,0.96484375
442,0.95703125
443,0.96875
444,0.9765625
445,0.97265625
446,0.94140625
447,0.96484375
448,0.95703125
449,0.96484375
450,0.9609375
451,0.97265625
452,0.953125
453,0.96484375
454,0.97265625
455,0.95703125
456,0.9609375
457,0.9765625
458,0.9609375
459,0.96484375
460,0.96875
461,0.96484375
462,0.94921875
463,0.96484375
464,0.96875
465,0.9453125
466,0.94140625
467,0.96875
468,0.96484375
469,0.9609375
470,0.96875
471,0.96875
472,0.97265625
473,0.9609375
474,0.953125
475,0.95703125
476,0.953125
477,0.9453125
478,0.984375
479,0.96875
480,0.97265625
481,0.95703125
482,0.96875
483,0.94921875
484,0.9765625
485,0.96875
486,0.96875
487,0.96484375
488,0.9453125
489,0.9609375
490,0.96875
491,0.97265625
492,0.984375
493,0.96484375
494,0.9609375
495,0.9453125
496,0.953125
497,0.96484375
498,0.95703125
499,0.96484375
500,0.94140625
501,0.9609375
502,0.95703125
503,0.94140625
504,0.97265625
505,0.94921875
506,0.94921875
507,0.94921875
508,0.95703125
509,0.9765625
510,0.9609375
511,0.97265625
512,0.96875
513,0.953125
514,0.95703125
515,0.9765625
516,0.96875
517,0.96875
518,0.9453125
519,0.9453125
520,0.953125
521,0.96484375
522,0.96484375
523,0.95703125
524,0.96484375
525,0.9609375
526,0.96484375
527,0.953125
528,0.95703125
529,0.94921875
530,0.9765625
531,0.953125
532,0.96875
533,0.96875
534,0.96875
535,0.96875
536,0.9609375
537,0.96484375
538,0.94921875
539,0.96875
540,0.9765625
541,0.9609375
542,0.97265625
543,0.96484375
544,0.96875
545,0.96484375
546,0.953125
547,0.953125
548,0.984375
549,0.94921875
550,0.96875
551,0.94921875
552,0.9609375
553,0.9765625
554,0.98046875
555,0.984375
556,0.94921875
557,0.95703125
558,0.96484375
559,0.96484375
560,0.97265625
561,0.96875
562,0.96484375
563,0.9375
564,0.94921875
565,0.9765625
566,0.97265625
567,0.97265625
568,0.96875
569,0.953125
570,0.98046875
571,0.96484375
572,0.95703125
573,0.953125
574,0.98046875
575,0.97265625
576,0.96484375
577,0.96484375
578,0.95703125
579,0.9765625
580,0.98046875
581,0.96484375
582,0.9453125
583,0.95703125
584,0.97265625
585,0.96484375
586,0.97265625
587,0.96875
588,0.97265625
589,0.953125
590,0.9609375
591,0.9765625
592,0.97265625
593,0.9609375
594,0.9609375
595,0.96484375
596,0.9765625
597,0.9765625
598,0.96875
599,0.96875
600,0.97265625
601,0.95703125
602,0.9609375
603,0.9765625
604,0.97265625
605,0.95703125
606,0.95703125
607,0.953125
608,0.95703125
609,0.97265625
610,0.97265625
611,0.96875
612,0.96875
613,0.94921875
614,0.9609375
615,0.9765625
616,0.9765625
617,0.95703125
618,0.9609375
619,0.97265625
620,0.9609375
621,0.97265625
622,0.9609375
623,0.9453125
624,0.97265625
625,0.96484375
626,0.97265625
627,0.96875
628,0.96875
629,0.96484375
630,0.953125
631,0.95703125
632,0.97265625
633,0.96484375
634,0.95703125
635,0.9609375
636,0.96484375
637,0.9609375
638,0.96875
639,0.9453125
640,0.96484375
641,0.953125
642,0.9453125
643,0.96875
644,0.95703125
645,0.96875
646,0.9765625
647,0.94921875
648,0.9609375
649,0.9453125
650,0.94921875
651,0.953125
652,0.96875
653,0.97265625
654,0.953125
655,0.96484375
656,0.96875
657,0.95703125
658,0.98046875
659,0.96484375
660,0.96875
661,0.96484375
662,0.97265625
663,0.96875
664,0.96484375
665,0.9765625
666,0.9609375
667,0.9609375
668,0.984375
669,0.96875
670,0.95703125
671,0.98828125
672,0.96875
673,0.97265625
674,0.96875
675,0.97265625
676,0.95703125
677,0.94921875
678,0.96484375
679,0.9609375
680,0.9609375
681,0.97265625
682,0.96484375
683,0.96875
684,0.96875
685,0.97265625
686,0.96875
687,0.94921875
688,0.97265625
689,0.96484375
690,0.97265625
691,0.95703125
692,0.96875
693,0.96875
694,0.9765625
695,0.96875
696,0.95703125
697,0.94921875
698,0.953125
699,0.96484375
700,0.9765625
701,0.98046875
702,0.9609375
703,0.96875
704,0.96484375
705,0.98046875
706,0.9609375
707,0.97265625
708,0.9609375
709,0.9609375
710,0.96875
711,0.94921875
712,0.95703125
713,0.9609375
714,0.9609375
715,0.94921875
716,0.953125
717,0.96875
718,0.97265625
719,0.953125
720,0.96484375
721,0.953125
722,0.9765625
723,0.96484375
724,0.96875
725,0.97265625
726,0.98046875
727,0.95703125
728,0.95703125
729,0.953125
730,0.9765625
731,0.96875
732,0.96875
733,0.94921875
734,0.96484375
735,0.9765625
736,0.9765625
737,0.96875
738,0.94921875
739,0.97265625
740,0.9609375
741,0.9609375
742,0.95703125
743,0.9609375
744,0.98046875
745,0.95703125
746,0.96875
747,0.97265625
748,0.96484375
749,0.96875
750,0.95703125
751,0.96875
752,0.96875
753,0.96875
754,0.97265625
755,0.96484375
756,0.96484375
757,0.9765625
758,0.9609375
759,0.97265625
760,0.98046875
761,0.9453125
762,0.96875
763,0.9765625
764,0.953125
765,0.96484375
766,0.96875
767,0.98046875
768,0.9609375
769,0.97265625
770,0.9765625
771,0.98046875
772,0.9765625
773,0.9921875
774,0.98046875
775,0.98046875
776,0.97265625
777,0.984375
778,0.984375
779,0.98046875
780,0.98046875
781,0.96875
782,0.9609375
783,0.984375
784,0.96875
785,0.9765625
786,0.9609375
787,0.96875
788,0.98046875
789,0.97265625
790,0.98046875
791,0.984375
792,0.984375
793,0.9609375
794,0.9609375
795,0.97265625
796,0.96484375
797,0.95703125
798,0.97265625
799,0.98046875
800,0.9921875
801,0.984375
802,0.96484375
803,0.9609375
804,0.984375
805,0.9609375
806,0.96875
807,0.97265625
808,0.9765625
809,0.9609375
810,0.9765625
811,0.96875
812,0.9765625
813,0.953125
814,0.9765625
815,0.97265625
816,0.96484375
817,0.96484375
818,0.96484375
819,0.98046875
820,0.98828125
821,0.97265625
822,0.97265625
823,0.97265625
824,0.9765625
825,0.98046875
826,0.984375
827,0.96484375
828,0.9765625
829,0.9765625
830,0.96875
831,0.984375
832,0.98046875
833,0.9765625
834,0.984375
835,0.97265625
836,0.984375
837,0.96875
838,0.9765625
839,0.9765625
840,0.96484375
841,0.98828125
842,0.9453125
843,0.9609375
844,0.9609375
845,0.96484375
846,0.9765625
847,0.98046875
848,0.96875
849,0.9609375
850,0.984375
851,0.98046875
852,0.98046875
853,0.95703125
854,0.96875
855,0.97265625
856,0.98046875
857,0.984375
858,0.9921875
859,0.97265625
860,0.9765625
861,0.96875
862,0.9765625
863,0.96875
864,0.96875
865,0.984375
866,0.97265625
867,0.96484375
868,0.9765625
869,0.98046875
870,0.98046875
871,0.9765625
872,0.9609375
873,0.96875
874,0.984375
875,0.9765625
876,0.97265625
877,0.97265625
878,0.98828125
879,0.97265625
880,0.96484375
881,0.96484375
882,0.9609375
883,0.96875
884,0.98046875
885,0.97265625
886,0.97265625
887,0.984375
888,0.98046875
889,0.97265625
890,0.98828125
891,0.9765625
892,0.984375
893,0.9765625
894,0.97265625
895,0.9765625
896,0.9921875
897,0.97265625
898,0.96875
899,0.98046875
900,0.9375
901,0.96484375
902,0.9765625
903,0.96484375
904,0.96484375
905,0.96875
906,0.984375
907,0.96484375
908,0.9765625
909,0.97265625
910,0.9765625
911,0.9765625
912,0.96484375
913,0.98046875
914,0.95703125
915,0.97265625
916,0.97265625
917,0.96875
918,0.9765625
919,0.9765625
920,0.97265625
921,0.97265625
922,0.96484375
923,0.984375
924,0.96875
925,0.97265625
926,0.9609375
927,0.9765625
928,0.98046875
929,0.9765625
930,0.96875
931,0.97265625
932,0.9609375
933,0.96484375
934,0.96484375
935,0.96484375
936,0.9765625
937,0.9765625
938,0.9765625
939,0.97265625
940,0.984375
941,0.984375
942,0.97265625
943,0.9765625
944,0.96875
945,0.97265625
946,0.9765625
947,0.984375
948,0.97265625
