,SNRDB_senc_BPSK,BER_senc_BPSK,SNRDB_senc_QPSK,BER_senc_QPSK,SNRDB_senc_16QAM,BER_senc_16QAM,SNRDB_spe_BPSK,BER_spe_BPSK,SNRDB_spe_QPSK,BER_spe_QPSK,SNRDB_spe_16QAM,BER_spe_16QAM,SNRDB_spe_scr_BPSK,BER_spe_scr_BPSK,SNRDB_spe_scr_QPSK,BER_spe_scr_QPSK,SNRDB_spe_scr_16QAM,BER_spe_scr_16QAM
0,15.299756356561335,2.8050325764428964e-09,18.307704909587677,2.6991842121202415e-09,25.289706559589145,2.057831675234565e-09,15.297169267199813,2.769518484914491e-09,18.302384338371592,2.746968825862266e-09,25.29570518959445,1.9931343326154427e-09,15.303933199383113,2.8501865857569902e-09,18.308990754053852,3.066588256702072e-09,25.306575667030803,3.5790388948647603e-09
1,14.279972903663674,1.090512596339561e-07,17.290311840243536,1.059159811353911e-07,24.27801650541286,8.059520998519938e-08,14.274585369360418,1.0909811466392193e-07,17.288894493460646,1.0650975301093947e-07,24.278872287131794,8.051357906376255e-08,14.279187209392504,1.1052254681621178e-07,17.28768026090091,1.1399051350443566e-07,24.27857550443319,1.1255063893925264e-07
2,13.36030554065462,1.5209775428469518e-06,16.36920412155146,1.5414759728103542e-06,23.360926377959085,1.1327885652103643e-06,13.360193761385256,1.5162032969232408e-06,16.371595664605092,1.5379028784281112e-06,23.362344544296302,1.1227584629570335e-06,13.364500946920087,1.5743740018749905e-06,16.37509103244181,1.5948353485059938e-06,23.355606714930932,1.3937861841349586e-06
3,12.540629157006435,1.0933820757802338e-05,15.548506850066701,1.1026912211199035e-05,22.528692316850528,8.212892393279107e-06,12.536191881037372,1.0981379913463155e-05,15.548383212913796,1.0950149724109311e-05,22.53793497787144,8.229541005648929e-06,12.530731306275422,1.1003195220383312e-05,15.538939928256287,1.1300798790064091e-05,22.53103786477634,9.5616418589028e-06
4,11.776178531687533,5.1013991182769366e-05,14.786682673548647,5.023960279300002e-05,21.766630473913448,3.790793425327112e-05,11.780634118364683,5.046160618094136e-05,14.792312214436476,5.016103531121655e-05,21.780744794611486,3.722724436789779e-05,11.77733509737047,4.969998921068112e-05,14.789683533478655,5.1115653519647145e-05,21.77949860458581,4.156378212955456e-05
5,11.079708285033876,0.00016635930888129227,14.094038967019497,0.00016367702304322167,21.08840331748784,0.0001220324058661311,11.081766337241639,0.00016429069449959343,14.087710142940548,0.00016469165634446655,21.074818082446967,0.00012370468823578014,11.078302851005258,0.00016724972304959056,14.089512275543104,0.00016765889850598237,21.081753714806318,0.000131551294955892
6,10.436122356883555,0.000427792074190892,13.45210110159386,0.00042445778009146223,20.438279506756583,0.0003161157260930255,10.43655604674701,0.00042549790297906543,13.452967290532943,0.00042236098971698744,20.432506591099013,0.00031628614271276005,10.438051507212851,0.00042996620979721253,13.44072391843131,0.0004307303423913243,20.432997795728568,0.0003333417009300812
7,9.840327071246895,0.0009159443002492801,12.850359988055088,0.0009052267801634184,19.837502353071518,0.0006766962637947338,9.832854824564006,0.0009211986742323648,12.856467058755184,0.0009112335634796354,19.840638193300016,0.0006736051024061008,9.835425541102031,0.0009221968015402042,12.847520082411707,0.0009206762870208228,19.835249885284803,0.0007114780554679883
8,9.276772568888424,0.0017084129834538137,12.285998983999285,0.001725596779349483,19.28150179257208,0.0012652305574980859,9.277417883827859,0.0017235984622305822,12.291161335320648,0.0017165347973055497,19.273391772003293,0.0012665330787576473,9.271460379048987,0.0017170982703594883,12.284372830465033,0.001724165362857312,19.28399460586256,0.0013121901810299137
9,8.75109886847516,0.0028751184466283635,11.76770657420586,0.002882672744526002,18.75333816232484,0.00211868195330143,8.750652007779355,0.0029066301753274478,11.757936958819194,0.0029004762331235,18.74888359098222,0.002125528927191409,8.753754224090757,0.002896271502558641,11.763341936535443,0.002894988496728328,18.754752140019846,0.002176304549539327
