,0
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,0.98046875
9,0.9765625
10,0.9921875
11,0.9921875
12,0.99609375
13,1.0
14,1.0
15,1.0
16,0.95703125
17,0.96484375
18,0.9765625
19,0.99609375
20,0.98828125
21,1.0
22,1.0
23,1.0
24,0.9453125
25,0.98046875
26,0.98828125
27,0.9921875
28,0.9921875
29,0.99609375
30,0.99609375
31,1.0
32,0.94140625
33,0.95703125
34,0.96484375
35,0.9921875
36,0.99609375
37,0.99609375
38,0.99609375
39,1.0
40,0.9453125
41,0.9765625
42,0.984375
43,0.99609375
44,0.99609375
45,1.0
46,1.0
47,1.0
48,0.9921875
49,0.9921875
50,0.99609375
51,0.99609375
52,0.99609375
53,0.99609375
54,1.0
55,1.0
56,0.98046875
57,0.98828125
58,0.9921875
59,0.99609375
60,0.99609375
61,1.0
62,1.0
63,1.0
64,0.95703125
65,0.9609375
66,0.9921875
67,0.98046875
68,0.9921875
69,1.0
70,1.0
71,1.0
72,0.89453125
73,0.92578125
74,0.96875
75,0.984375
76,0.99609375
77,0.99609375
78,0.99609375
79,1.0
80,0.9375
81,0.96484375
82,0.9765625
83,0.9921875
84,0.99609375
85,1.0
86,1.0
87,1.0
88,0.96875
89,0.96484375
90,0.98828125
91,0.99609375
92,0.9921875
93,0.99609375
94,0.99609375
95,1.0
96,0.91796875
97,0.94921875
98,0.96875
99,0.9765625
100,0.98046875
101,0.9921875
102,0.99609375
103,1.0
104,0.98828125
105,0.984375
106,0.98828125
107,0.99609375
108,0.99609375
109,1.0
110,1.0
111,1.0
112,0.98828125
113,0.9921875
114,0.984375
115,0.98828125
116,1.0
117,1.0
118,1.0
119,1.0
120,0.96875
121,0.95703125
122,0.984375
123,0.9921875
124,1.0
125,1.0
126,1.0
127,1.0
128,0.91796875
129,0.94921875
130,0.9765625
131,0.984375
132,0.9921875
133,0.99609375
134,1.0
135,0.99609375
136,0.953125
137,0.984375
138,0.9765625
139,1.0
140,0.9921875
141,1.0
142,1.0
143,1.0
144,0.95703125
145,0.96484375
146,0.98046875
147,0.98828125
148,0.9921875
149,0.9921875
150,1.0
151,1.0
152,0.91796875
153,0.93359375
154,0.97265625
155,0.984375
156,0.9921875
157,1.0
158,1.0
159,1.0
160,0.92578125
161,0.953125
162,0.94921875
163,0.97265625
164,1.0
165,0.9921875
166,1.0
167,1.0
168,0.8828125
169,0.890625
170,0.9296875
171,0.96875
172,0.9921875
